Molecula_N,id,isomeric_smiles,canonical_smiles,inchikey,BindingDB MonomerID,IC50_nM
67,50185363,[H]ON(C([H])=O)C([H])([H])[C@]1([H])C([H])([H])[C@@]1([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C1([H])C([H])([H])C1([H])P(=O)(O[H])O[H],UQUOLLQTLQTTFU-CRCLSJGQSA-N,50185363,313.0
68,50437797,[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],ZQCVCGYWPNFEAH-HNNXBMFYSA-N,50437797,320.0
69,50028364,[H]ON(C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],MTKVPWZBCNHJJD-LBPRGKRZSA-N,50028364,320.0
70,50181153,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-N,50181153,320.0
71,50528602,[H]ON([H])C(=O)C([H])([H])S[C@]([H])(c1c([H])c(F)c([H])c(F)c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])SC([H])(c1c([H])c(F)c([H])c(F)c1[H])P(=O)(O[H])O[H],CHWZNLZHQNRDMJ-SECBINFHSA-N,50528602,320.0
72,701271,O=CN(O)CCCP(=O)([O-])O,O=CN(O)CCCP(=O)([O-])O,GJXWDTUCERCKIX-UHFFFAOYSA-M,701271,340.0
73,50459311,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[P@](=O)([O-])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)([O-])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-M,50459311,360.0
74,50181149,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],FNAXXVYOCPGAEJ-GFCCVEGCSA-N,50181149,396.0
75,50335482,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],FNAXXVYOCPGAEJ-GFCCVEGCSA-N,50335482,396.0
76,50380000,[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],OXDGJHZVDJQJCC-UHFFFAOYSA-N,50380000,410.0
77,50459310,[H]ON(C([H])=O)C([H])([H])/C([H])=C(\[H])[P@@](=O)([O-])O[H],[H]ON(C([H])=O)C([H])([H])C([H])=C([H])P(=O)([O-])O[H],YTTBDWKRMPYBDN-HNQUOIGGSA-M,50459310,410.0
78,50153713,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-N,50153713,438.0
79,50153713,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-N,50153713,440.0
80,50028373,[H]ON(C(=O)C([H])([H])O[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])OC([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],LUULKKFHGAQKEF-LLVKDONJSA-N,50028373,450.0
81,50181151,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],WKYGVTJLHPMWIU-GFCCVEGCSA-N,50181151,459.0
82,50335481,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],WKYGVTJLHPMWIU-GFCCVEGCSA-N,50335481,459.0
83,50153713,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-N,50153713,510.0
84,50441209,[H]ON(C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)P(=O)(O[H])O[H])C([H])([H])[H],RWUHAWVQQUMWLS-AWEZNQCLSA-N,50441209,550.0
85,50422677,[H]ON(C(=O)C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])P(=O)(O[H])O[H],IHWCDDPJHBMTAV-RXMQYKEDSA-N,50422677,646.0
86,701271,O=CN(O)CCCP(=O)([O-])O,O=CN(O)CCCP(=O)([O-])O,GJXWDTUCERCKIX-UHFFFAOYSA-M,701271,670.0
87,50528603,[H]ON([H])C(=O)C([H])([H])S[C@]([H])(c1c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])SC([H])(c1c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H],XGGBDHVHUYHYBD-LLVKDONJSA-N,50528603,680.0
88,50028310,[H]ON([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],SCBADMOVHOXNEN-JTQLQIEISA-N,50028310,700.0
89,50422674,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])[H])P(=O)(O[H])O[H],VRKRIEKURSYLLU-SSDOTTSWSA-N,50422674,708.0
90,50441205,[H]ON([H])C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])SC([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],MMODIMKCMBCKCF-VIFPVBQESA-N,50441205,720.0
91,50441196,[H]ON(C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(F)c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(F)c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],IZWIBRNXHRUNKD-JTQLQIEISA-N,50441196,770.0
92,50437803,[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1C([H])([H])[H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],RHTCGYHBCJAMDN-INIZCTEOSA-N,50437803,830.0
93,50335493,[H]OP(=O)(O[H])C([H])([H])c1nc([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],[H]OP(=O)(O[H])C([H])([H])c1nc([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],JTYLHYFDHHMHKD-UHFFFAOYSA-N,50335493,840.0
94,50081649,[H]ON(C(=O)C([H])([H])[C@]([H])(C([H])([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[P@](=O)([O-])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])(C([H])([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])P(=O)([O-])O[H])C([H])([H])[H],YKRNADVNYIPUET-ZDUSSCGKSA-M,50081649,843.0
95,50422649,[H]ON(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],XVWSGEIMEATWFE-UHFFFAOYSA-N,50422649,1000.0
96,50459311,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[P@](=O)([O-])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)([O-])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-M,50459311,1000.0
97,50445564,[H]ON(C(=O)C([H])([H])[H])C([H])([H])/C([H])=C(\[H])[P@](=O)([O-])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])=C([H])P(=O)([O-])O[H],LJCWFOKLHHHANO-DUXPYHPUSA-M,50445564,1070.0
98,50380000,[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],OXDGJHZVDJQJCC-UHFFFAOYSA-N,50380000,1150.0
99,50437792,[H]ON(C(=O)c1c([H])c([H])c(C([H])([H])n2nc([H])nc2[H])c([H])c1[H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c(C([H])([H])n2nc([H])nc2[H])c([H])c1[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],MTKONNCMIPCZJN-SFHVURJKSA-N,50437792,1200.0
100,50335486,[H]On1c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c1=O,[H]On1c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c1=O,ISVJDQZSLLHGNB-UHFFFAOYSA-N,50335486,1400.0
101,50379999,[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],AKXSFRVADDCWTF-UHFFFAOYSA-N,50379999,1480.0
102,15236,[H]Oc1c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2O[H])c([H])c(O[H])c1O[H],[H]Oc1c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2O[H])c([H])c(O[H])c1O[H],IKMDFBPHZNJCSN-UHFFFAOYSA-N,15236,1500.0
103,50028371,[H]ON([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H],KGPOFMWTMOJKJA-NSHDSACASA-N,50028371,1500.0
104,50437806,[H]ON(C(=O)c1c([H])nc([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])nc([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],YEEGIHBEADGRCT-UHFFFAOYSA-N,50437806,1600.0
105,50441202,[H]ON(C(=O)C([H])([H])O[C@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])OC([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],BNXJAJGNFMLKQG-JTQLQIEISA-N,50441202,1600.0
106,701274,CC(=O)N(O)C/C=C/P(=O)([O-])O,CC(=O)N(O)CC=CP(=O)([O-])O,LJCWFOKLHHHANO-DUXPYHPUSA-M,701274,1690.0
107,50422662,[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GWBDABZSDWGHSK-UHFFFAOYSA-N,50422662,1698.0
108,50441206,[H]ON([H])C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c(F)c(F)c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])SC([H])(c1c([H])c([H])c(F)c(F)c1[H])P(=O)(O[H])O[H],NRYOYJDZCNIYIA-VIFPVBQESA-N,50441206,1700.0
109,50422663,[H]ON(C([H])=O)C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])[H])P(=O)(O[H])O[H],JCVSPWKNRTXJHO-ZCFIWIBFSA-N,50422663,1778.0
110,50441193,[H]ON(C(=O)C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],YBVPWURHYFIQDS-LLVKDONJSA-N,50441193,1800.0
111,50441193,[H]ON(C(=O)C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],YBVPWURHYFIQDS-LLVKDONJSA-N,50441193,1800.0
112,50422641,[H]Oc1c([H])c([H])c([H])c([H])c1C(=O)N(O[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]Oc1c([H])c([H])c([H])c([H])c1C(=O)N(O[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],OQQWYIHQDYABED-UHFFFAOYSA-N,50422641,1820.0
113,50422653,[H]ON([H])C(=O)C([H])([H])N(C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])N(C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])P(=O)(O[H])O[H],QIRZEGHSNYORGB-UHFFFAOYSA-N,50422653,1820.0
114,7460,[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2O[H])c([H])c1O[H],[H]Oc1c([H])c([H])c(-c2oc3c([H])c(O[H])c([H])c(O[H])c3c(=O)c2O[H])c([H])c1O[H],REFJWTPEDVJJIY-UHFFFAOYSA-N,7460,1900.0
115,50437804,[H]ON(C(=O)c1c([H])c([H])c2c([H])c([H])c([H])c([H])c2c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c2c([H])c([H])c([H])c([H])c2c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],CVMPGCYASBHOSC-UHFFFAOYSA-N,50437804,2000.0
116,50422666,[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],IIWMVQGECOWGCK-UHFFFAOYSA-N,50422666,2000.0
117,50028362,[H]ON(C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],VLBYPFQOJHBTHH-NSHDSACASA-N,50028362,2000.0
118,50441197,[H]ON(C(=O)C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],IVXUMQUJFAYDTH-SNVBAGLBSA-N,50441197,2000.0
119,50009001,[H]Oc1c(O[H])c(O[H])c2c(=O)c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])oc2c1[H],[H]Oc1c(O[H])c(O[H])c2c(=O)c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])oc2c1[H],FXNFHKRTJBSTCS-UHFFFAOYSA-N,50009001,2200.0
120,50422646,[H]ON(C(=O)C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(P(=O)(O[H])O[H])C1([H])[H],[H]ON(C(=O)C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])(P(=O)(O[H])O[H])C1([H])[H],BVFGMYZIZBWGSZ-NKWVEPMBSA-N,50422646,2344.0
121,50181153,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-N,50181153,2390.0
122,50422645,[H]ON(C(=O)c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GPQHBCCFQBXMAZ-UHFFFAOYSA-N,50422645,2399.0
123,50028373,[H]ON(C(=O)C([H])([H])O[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])OC([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],LUULKKFHGAQKEF-LLVKDONJSA-N,50028373,2800.0
124,50185362,[H]ON(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])[C@]1([H])C([H])([H])[C@@]1([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C1([H])P(=O)(O[H])O[H],HHEIMEHJOWXXGX-NTSWFWBYSA-N,50185362,3000.0
125,50044976,[H]OC(=O)C([H])([H])N1C(=O)/C(=C(\[H])c2c([H])c([H])c(O[H])c(O[H])c2[H])SC1=S,[H]OC(=O)C([H])([H])N1C(=O)C(=C([H])c2c([H])c([H])c(O[H])c(O[H])c2[H])SC1=S,MNPZQUQRMCXSTL-WTKPLQERSA-N,50044976,3100.0
126,50044967,[H]Oc1c([H])c([H])c(/C([H])=C2\SC(=S)N(C([H])([H])C(=O)N([H])c3c([H])c([H])c(Oc4c([H])c([H])c(Cl)c([H])c4[H])c([H])c3[H])C2=O)c([H])c1O[H],[H]Oc1c([H])c([H])c(C([H])=C2SC(=S)N(C([H])([H])C(=O)N([H])c3c([H])c([H])c(Oc4c([H])c([H])c(Cl)c([H])c4[H])c([H])c3[H])C2=O)c([H])c1O[H],ZFXMQLUPFQGBOL-MTJSOVHGSA-N,50044967,3200.0
