Molecula_N,id,isomeric_smiles,canonical_smiles,inchikey,BindingDB MonomerID,IC50_nM,SMILES_CLEAN
136,50135835,[H]OP(=O)(O[H])C([H])(N([H])c1nc([H])c([H])c2c([H])c([H])c([H])c([H])c12)P(=O)(O[H])O[H],[H]OP(=O)(O[H])C([H])(N([H])c1nc([H])c([H])c2c([H])c([H])c([H])c([H])c12)P(=O)(O[H])O[H],JPVMIOWESIQIGB-UHFFFAOYSA-N,50135835,4000.0,O=P(O)(O)C(Nc1nccc2ccccc12)P(=O)(O)O
138,59100,[H]Oc1c([H])c([H])c(/C([H])=C2\SC(=S)N(C([H])([H])C(=O)N([H])c3c([H])c([H])c(Oc4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])c([H])c3[H])C2=O)c([H])c1O[H],[H]Oc1c([H])c([H])c(C([H])=C2SC(=S)N(C([H])([H])C(=O)N([H])c3c([H])c([H])c(Oc4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])c([H])c3[H])C2=O)c([H])c1O[H],NDEWWTFWHOMPMV-XKZIYDEJSA-N,59100,4100.0,Cc1ccc(Oc2ccc(NC(=O)CN3C(=O)C(=Cc4ccc(O)c(O)c4)SC3=S)cc2)cc1
139,50028380,[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],BJAJYJPPRQEDDK-NSHDSACASA-N,50028380,4300.0,CN(O)C(=O)CCCC(c1ccccc1)P(=O)(O)O
140,50528595,[H]ON(C(=O)C([H])([H])S(=O)(=O)[C@]([H])(c1c([H])c(F)c([H])c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])S(=O)(=O)C([H])(c1c([H])c(F)c([H])c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],UUQUCESUGTXANS-SNVBAGLBSA-N,50528595,4300.0,CN(O)C(=O)CS(=O)(=O)C(c1cc(F)cc(F)c1)P(=O)(O)O
143,50528601,[H]ON([H])C(=O)C([H])([H])S(=O)(=O)[C@]([H])(c1c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])S(=O)(=O)C([H])(c1c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H],SUVNJFICWNSRLX-LLVKDONJSA-N,50528601,4500.0,COc1cc(OC)cc(C(P(=O)(O)O)S(=O)(=O)CC(=O)NO)c1
144,50441203,[H]ON(C(=O)C([H])([H])O[C@]([H])(c1c([H])c([H])c(F)c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])OC([H])(c1c([H])c([H])c(F)c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],XKRWMTQGABKZDX-JTQLQIEISA-N,50441203,4600.0,CN(O)C(=O)COC(c1ccc(F)c(F)c1)P(=O)(O)O
145,50335492,[H]OP(=O)(O[H])C([H])([H])c1nc([H])c([H])c([H])c1[H],[H]OP(=O)(O[H])C([H])([H])c1nc([H])c([H])c([H])c1[H],WVWCWWLEFNGDBC-UHFFFAOYSA-N,50335492,4600.0,O=P(O)(O)Cc1ccccn1
146,50422670,[H]ON(C(=O)C([H])([H])N([H])C(=O)c1c([H])c([H])c(OC(F)(F)F)c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])N([H])C(=O)c1c([H])c([H])c(OC(F)(F)F)c([H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],BSNRVHMVFQEWLQ-UHFFFAOYSA-N,50422670,5129.0,O=C(NCC(=O)N(O)CCCP(=O)(O)O)c1ccc(OC(F)(F)F)cc1
148,50422659,[H]ON(C([H])=O)C([H])([H])[C@@]([H])(C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])(C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])P(=O)(O[H])O[H],GSTJPVSZSQVHTK-LLVKDONJSA-N,50422659,6457.0,O=CN(O)CC(Cc1ccccc1)CP(=O)(O)O
149,50422643,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])C([H])([H])[H])P(=O)(O[H])O[H],JTGWCTDCLRMUIK-MRVPVSSYSA-N,50422643,6607.0,CCCC(CCN(O)C(C)=O)P(=O)(O)O
150,50422654,[H]ON(C([H])=O)C([H])([H])C([H])([H])[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])(C([H])(C([H])([H])[H])C([H])([H])[H])P(=O)(O[H])O[H],DFKLUTJHAPCQBM-ZETCQYMHSA-N,50422654,6607.0,CC(C)C(CCN(O)C=O)P(=O)(O)O
151,50081650,[H]ON(C(=O)C([H])([H])[C@]([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[P@](=O)([O-])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])(C([H])([H])C([H])([H])C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])P(=O)([O-])O[H])C([H])([H])[H],FWCPRMVLUHPTMF-AWEZNQCLSA-M,50081650,6670.0,CN(O)C(=O)CC(CCCCc1ccccc1)CP(=O)([O-])O
152,50437801,[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1C([H])([H])c1sc([H])c([H])c1[H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1C([H])([H])c1sc([H])c([H])c1[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],RNHFOWGQTCFQEC-FQEVSTJZSA-N,50437801,7000.0,O=C(c1ccccc1Cc1cccs1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
153,50115109,[H]OP(=O)(O[H])C([H])(N([H])c1nc([H])c(Cl)c([H])c1[H])P(=O)(O[H])O[H],[H]OP(=O)(O[H])C([H])(N([H])c1nc([H])c(Cl)c([H])c1[H])P(=O)(O[H])O[H],BNMYZGAZFGNKTH-UHFFFAOYSA-N,50115109,7000.0,O=P(O)(O)C(Nc1ccc(Cl)cn1)P(=O)(O)O
154,50422642,[H]ON(C(=O)C([H])([H])N([H])C(=O)C1([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])N([H])C(=O)C1([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],UHCOSYOZVSEXPK-UHFFFAOYSA-N,50422642,7079.0,O=C(NCC(=O)N(O)CCCP(=O)(O)O)C1CC1
155,50335490,[H]OP(=O)(O[H])C([H])([H])c1c([H])c([H])nc([H])c1[H],[H]OP(=O)(O[H])C([H])([H])c1c([H])c([H])nc([H])c1[H],FMAPICFMLRVVSP-UHFFFAOYSA-N,50335490,7100.0,O=P(O)(O)Cc1ccncc1
157,50437796,[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1OC(F)(F)F)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1OC(F)(F)F)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],PDZIQZYFJOAVFY-HNNXBMFYSA-N,50437796,8000.0,O=C(c1ccccc1OC(F)(F)F)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
158,50422671,[H]ON(C([H])=O)C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])C([H])([H])[H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])C([H])([H])[H])P(=O)(O[H])O[H],PTRYLLOUYRUORZ-SSDOTTSWSA-N,50422671,8128.0,CCCC(CCN(O)C=O)P(=O)(O)O
160,50437802,[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1C(F)(F)F)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1C(F)(F)F)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],MEDBZDOCGVNSLM-HNNXBMFYSA-N,50437802,9000.0,O=C(c1ccccc1C(F)(F)F)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
161,50422664,[H]ON([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],FHMAKACGDXCLNE-VKHMYHEASA-N,50422664,9772.0,NC(CCP(=O)(O)O)C(=O)NO
162,50335491,[H]OP(=O)(O[H])C([H])([H])c1c([H])nc([H])c([H])c1[H],[H]OP(=O)(O[H])C([H])([H])c1c([H])nc([H])c([H])c1[H],QDDHHQXANXQQAY-UHFFFAOYSA-N,50335491,10000.0,O=P(O)(O)Cc1cccnc1
164,50422676,[H]ON(C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],NEZISRPYGWZJCI-UHFFFAOYSA-N,50422676,10965.0,CC(C)(C)C(=O)N(O)CCCP(=O)(O)O
165,50028381,[H]ON(C(=O)C([H])([H])C([H])([H])[C@@]([H])(N([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(N([H])C(=O)c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],DIHZMVOBBRRTTG-JTQLQIEISA-N,50028381,11000.0,CN(O)C(=O)CCC(NC(=O)c1ccccc1)P(=O)(O)O
167,50528600,[H]ON(C(=O)C([H])([H])S(=O)(=O)[C@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])S(=O)(=O)C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],HLANOBCZDCGZQO-SNVBAGLBSA-N,50528600,11000.0,CN(O)C(=O)CS(=O)(=O)C(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
168,701278,COCOCOCOP(=O)(/C=C/CN(O)C=O)OCOCOCOC,COCOCOCOP(=O)(C=CCN(O)C=O)OCOCOCOC,ZFHQRCCUHAVXPR-HWKANZROSA-N,701278,12560.0,COCOCOCOP(=O)(C=CCN(O)C=O)OCOCOCOC
169,50437794,[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1C([H])([H])n1nc([H])nc1[H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1C([H])([H])n1nc([H])nc1[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],CGKYBZFXVQNZBL-SFHVURJKSA-N,50437794,13000.0,O=C(c1ccccc1Cn1cncn1)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
170,50441194,[H]ON(C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)P(=O)(O[H])O[H])C([H])([H])[H],GVYNITXGUQLLHI-AWEZNQCLSA-N,50441194,13000.0,CN(O)C(=O)CCC(c1cccc2ccccc12)P(=O)(O)O
171,50441192,[H]ON([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H],AXSYMYWFEVETHK-VIFPVBQESA-N,50441192,14000.0,O=C(CCC(c1ccccc1)P(=O)(O)O)NO
172,50422647,[H]ON(C(=O)C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C(F)(F)F)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],XSFPIPPKOYPIQE-UHFFFAOYSA-N,50422647,14125.0,O=C(N(O)CCCP(=O)(O)O)C(F)(F)F
173,50422672,[H]ON(C(=O)C([H])([H])N([H])C(=O)C([H])([H])c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])N([H])C(=O)C([H])([H])c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c1[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],ZBZVXYVGRZDLSD-UHFFFAOYSA-N,50422672,14125.0,COc1ccc(CC(=O)NCC(=O)N(O)CCCP(=O)(O)O)cc1OC
175,50441201,[H]ON(C(=O)C([H])([H])O[C@]([H])(c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])OC([H])(c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)P(=O)(O[H])O[H])C([H])([H])[H],RZCGPVVICRPZKJ-AWEZNQCLSA-N,50441201,15000.0,CN(O)C(=O)COC(c1cccc2ccccc12)P(=O)(O)O
176,50441207,[H]ON([H])C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])SC([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H],IKUWJQAZPLAXHU-VIFPVBQESA-N,50441207,15000.0,O=C(CSC(c1ccccc1)P(=O)(O)O)NO
177,50528591,[H]ON(C(=O)C([H])([H])S(=O)(=O)[C@]([H])(c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])S(=O)(=O)C([H])(c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)P(=O)(O[H])O[H])C([H])([H])[H],ZVESHGXETCATEP-CQSZACIVSA-N,50528591,15000.0,CN(O)C(=O)CS(=O)(=O)C(c1cccc2ccccc12)P(=O)(O)O
179,50422665,[H]ON(C(=O)C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],NPRVVDXQQZESLR-UHFFFAOYSA-N,50422665,15849.0,NCCC(=O)N(O)CCCP(=O)(O)O
180,50422673,[H]ON(C(=O)C(=O)OC([H])([H])C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(P(=O)(O[H])O[H])C1([H])[H],[H]ON(C(=O)C(=O)OC([H])([H])C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C([H])(P(=O)(O[H])O[H])C1([H])[H],JYDYIVNHQSXVJE-NKWVEPMBSA-N,50422673,15849.0,CCOC(=O)C(=O)N(O)C1CCC(P(=O)(O)O)C1
181,50335494,[H]OP(=O)(O[H])C([H])([H])c1nc2c([H])c([H])c([H])c([H])c2c([H])c1[H],[H]OP(=O)(O[H])C([H])([H])c1nc2c([H])c([H])c([H])c([H])c2c([H])c1[H],SZCYKKWPKXABPU-UHFFFAOYSA-N,50335494,15900.0,O=P(O)(O)Cc1ccc2ccccc2n1
182,50441204,[H]ON(C(=O)C([H])([H])O[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])OC([H])(c1c([H])c([H])c([H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],JAIZGFIPNLDIAR-JTQLQIEISA-N,50441204,16000.0,CN(O)C(=O)COC(c1ccccc1)P(=O)(O)O
183,50422661,[H]ON([H])C(=O)C([H])([H])N([H])C([H])([H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])N([H])C([H])([H])P(=O)(O[H])O[H],DSADRDIOOIRTOU-UHFFFAOYSA-N,50422661,16218.0,O=C(CNCP(=O)(O)O)NO
184,50422652,[H]ON(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])c1c([H])n([H])c2c([H])c([H])c([H])c([H])c12)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],WPUOWEOYBGYCKS-UHFFFAOYSA-N,50422652,16982.0,O=C(CCCc1c[nH]c2ccccc12)NCC(=O)N(O)CCCP(=O)(O)O
